Original_Row_Index,Inorganic phosphor,Host,1st dopant,Reference,MP-ID,ICSD-ID,CV_Fold,Emission max. (nm)
1888,CaSb2O6K0.75Bi0.75,CaSb2O6K0.75,Bi,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,2,437.0
1889,Zn0.9WO4Li0.05Tb0.05,Zn0.9WO4Li0.05,Tb,https://doi.org/10.1016/j.ijleo.2013.03.067,"mp-18918,mp-545622,mp-1205356,mp-645124,mp-1205368", icsd-166209 icsd-162236 icsd-186161 icsd-166215 icsd-22348 icsd-186162 icsd-87933 icsd-162678 icsd-166211 icsd-156483 icsd-166208 icsd-156482 icsd-166213 icsd-162682 icsd-162681 icsd-166210 icsd-166214 icsd-162683 icsd-166216 icsd-166212 icsd-162680 icsd-162234 icsd-162235 icsd-162679 icsd-84540 icsd-162237 icsd-162238,2,545.0
1890,Zn0.9WO4Na0.05Tb0.05,Zn0.9WO4Na0.05,Tb,https://doi.org/10.1016/j.ijleo.2013.03.067,"mp-18918,mp-545622,mp-1205356,mp-645124,mp-1205368", icsd-166209 icsd-162236 icsd-186161 icsd-166215 icsd-22348 icsd-186162 icsd-87933 icsd-162678 icsd-166211 icsd-156483 icsd-166208 icsd-156482 icsd-166213 icsd-162682 icsd-162681 icsd-166210 icsd-166214 icsd-162683 icsd-166216 icsd-166212 icsd-162680 icsd-162234 icsd-162235 icsd-162679 icsd-84540 icsd-162237 icsd-162238,9,545.0
1891,Zn0.9WO4K0.05Tb0.05,Zn0.9WO4K0.05,Tb,https://doi.org/10.1016/j.ijleo.2013.03.067,"mp-18918,mp-545622,mp-1205356,mp-645124,mp-1205368", icsd-166209 icsd-162236 icsd-186161 icsd-166215 icsd-22348 icsd-186162 icsd-87933 icsd-162678 icsd-166211 icsd-156483 icsd-166208 icsd-156482 icsd-166213 icsd-162682 icsd-162681 icsd-166210 icsd-166214 icsd-162683 icsd-166216 icsd-166212 icsd-162680 icsd-162234 icsd-162235 icsd-162679 icsd-84540 icsd-162237 icsd-162238,2,545.0
1892,Zn0.925WO4Tb0.05,Zn0.925WO4,Tb,https://doi.org/10.1016/j.ijleo.2013.03.067,"mp-18918,mp-545622,mp-1205356,mp-645124,mp-1205368", icsd-166209 icsd-162236 icsd-186161 icsd-166215 icsd-22348 icsd-186162 icsd-87933 icsd-162678 icsd-166211 icsd-156483 icsd-166208 icsd-156482 icsd-166213 icsd-162682 icsd-162681 icsd-166210 icsd-166214 icsd-162683 icsd-166216 icsd-166212 icsd-162680 icsd-162234 icsd-162235 icsd-162679 icsd-84540 icsd-162237 icsd-162238,2,545.0
1893,LaMgAl10.89O19Cr0.11,LaMgAl10.89O19,Cr,https://doi.org/10.1016/j.materresbull.2015.09.031,,,6,696.0
1894,KCa0.99GdP2O8Eu0.01,KCa0.99GdP2O8,Eu,https://doi.org/10.1039/C3RA40471D,,,4,462.0
1895,KCa0.97GdP2O8Eu0.03,KCa0.97GdP2O8,Eu,https://doi.org/10.1039/C3RA40471D,,,10,462.0
1896,KCa0.95GdP2O8Eu0.05,KCa0.95GdP2O8,Eu,https://doi.org/10.1039/C3RA40471D,,,6,462.0
1897,KCa0.93GdP2O8Eu0.07,KCa0.93GdP2O8,Eu,https://doi.org/10.1039/C3RA40471D,,,6,462.0
